Date,Time,NY-15,Scada
02-06-2021,02:45:00,0.0,-229.93
02-06-2021,03:00:00,0.0,-230.08
02-06-2021,03:15:00,0.0,-230.83
02-06-2021,03:30:00,0.0,-229.47
02-06-2021,03:45:00,0.0,-261.46
02-06-2021,04:00:00,0.0,-276.97
02-06-2021,04:15:00,0.0,-271.96
02-06-2021,04:30:00,0.0,-261.85
02-06-2021,04:45:00,0.0,-252.43
02-06-2021,05:00:00,0.0,-250.57
02-06-2021,05:15:00,0.0,-221.49
02-06-2021,05:30:00,0.0,-203.85
02-06-2021,05:45:00,0.0,-181.12
02-06-2021,06:00:00,0.0,-148.53
02-06-2021,06:15:00,0.0,-124.1
02-06-2021,06:30:00,0.0,-123.35
02-06-2021,06:45:00,0.0,-122.22
02-06-2021,07:00:00,0.0,-121.41
02-06-2021,07:15:00,0.0,-117.9
02-06-2021,07:30:00,0.0,-132.88
02-06-2021,07:45:00,0.0,-149.99
02-06-2021,08:00:00,0.0,-102.34
02-06-2021,08:15:00,0.0,-128.48
02-06-2021,08:30:00,0.0,-179.52
02-06-2021,08:45:00,0.0,-191.95
02-06-2021,09:00:00,0.0,-218.65
02-06-2021,09:15:00,0.0,-287.8
02-06-2021,09:30:00,0.0,-276.11
02-06-2021,09:45:00,0.0,-284.83
02-06-2021,10:00:00,0.0,-294.64
02-06-2021,10:15:00,0.0,-302.2
02-06-2021,10:30:00,0.0,-310.43
02-06-2021,10:45:00,0.0,-312.67
02-06-2021,11:00:00,0.0,-321.49
02-06-2021,11:15:00,0.0,-324.4
02-06-2021,11:30:00,0.0,-323.62
02-06-2021,11:45:00,0.0,-337.93
02-06-2021,12:00:00,0.0,-365.54
02-06-2021,12:15:00,0.0,-352.91
02-06-2021,12:30:00,0.0,-357.33
02-06-2021,12:45:00,0.0,-348.79
02-06-2021,13:00:00,0.0,-344.66
02-06-2021,13:15:00,0.0,-345.23
02-06-2021,13:30:00,0.0,-347.31
02-06-2021,13:45:00,0.0,-351.86
02-06-2021,14:00:00,0.0,-345.55
02-06-2021,14:15:00,0.0,-334.02
02-06-2021,14:30:00,0.0,-324.98
02-06-2021,14:45:00,0.0,-332.5
02-06-2021,15:00:00,0.0,-334.81
