Date,Time,NU-06,Scada
02-06-2021,23:45:00,0.0,50.71
03-06-2021,00:00:00,0.0,50.38
03-06-2021,00:15:00,0.0,51.47
03-06-2021,00:30:00,0.0,50.7
03-06-2021,00:45:00,0.0,50.42
03-06-2021,01:00:00,0.0,49.66
03-06-2021,01:15:00,0.0,50.4
03-06-2021,01:30:00,0.0,49.9
03-06-2021,01:45:00,0.0,49.42
03-06-2021,02:00:00,0.0,49.48
03-06-2021,02:15:00,0.0,48.66
03-06-2021,02:30:00,0.0,47.88
03-06-2021,02:45:00,0.0,46.49
03-06-2021,03:00:00,0.0,45.17
03-06-2021,03:15:00,0.0,44.93
03-06-2021,03:30:00,0.0,44.33
03-06-2021,03:45:00,0.0,43.76
03-06-2021,04:00:00,0.0,42.83
03-06-2021,04:15:00,0.0,42.4
03-06-2021,04:30:00,0.0,42.66
03-06-2021,04:45:00,0.0,42.4
03-06-2021,05:00:00,0.0,39.5
03-06-2021,05:15:00,0.0,37.14
03-06-2021,05:30:00,0.0,33.95
03-06-2021,05:45:00,0.0,32.25
03-06-2021,06:00:00,0.0,27.62
03-06-2021,06:15:00,0.0,23.34
03-06-2021,06:30:00,0.0,23.14
03-06-2021,06:45:00,0.0,22.06
03-06-2021,07:00:00,0.0,20.71
03-06-2021,07:15:00,0.0,18.71
03-06-2021,07:30:00,0.0,18.93
03-06-2021,07:45:00,0.0,20.14
03-06-2021,08:00:00,0.0,22.11
03-06-2021,08:15:00,0.0,25.11
03-06-2021,08:30:00,0.0,29.25
03-06-2021,08:45:00,0.0,33.68
03-06-2021,09:00:00,0.0,37.61
03-06-2021,09:15:00,0.0,44.24
03-06-2021,09:30:00,0.0,46.13
03-06-2021,09:45:00,0.0,49.44
03-06-2021,10:00:00,0.0,52.39
03-06-2021,10:15:00,0.0,56.02
03-06-2021,10:30:00,0.0,57.41
03-06-2021,10:45:00,0.0,58.13
03-06-2021,11:00:00,0.0,57.0
03-06-2021,11:15:00,0.0,57.92
03-06-2021,11:30:00,0.0,59.78
03-06-2021,11:45:00,0.0,59.99
03-06-2021,12:00:00,0.0,58.41
03-06-2021,12:15:00,0.0,59.04
03-06-2021,12:30:00,0.0,56.82
03-06-2021,12:45:00,0.0,56.45
03-06-2021,13:00:00,0.0,56.83
03-06-2021,13:15:00,0.0,56.01
03-06-2021,13:30:00,0.0,51.94
03-06-2021,13:45:00,0.0,50.79
03-06-2021,14:00:00,0.0,48.7
03-06-2021,14:15:00,0.0,49.31
03-06-2021,14:30:00,0.0,48.05
03-06-2021,14:45:00,0.0,46.44
03-06-2021,15:00:00,0.0,44.07
03-06-2021,15:15:00,0.0,43.17
03-06-2021,15:30:00,0.0,44.32
03-06-2021,15:45:00,0.0,43.89
03-06-2021,16:00:00,0.0,40.49
03-06-2021,16:15:00,0.0,36.14
03-06-2021,16:30:00,0.0,33.9
03-06-2021,16:45:00,0.0,33.37
03-06-2021,17:00:00,0.0,32.96
03-06-2021,17:15:00,0.0,32.56
03-06-2021,17:30:00,0.0,31.76
03-06-2021,17:45:00,0.0,32.98
03-06-2021,18:00:00,0.0,34.72
03-06-2021,18:15:00,0.0,36.72
03-06-2021,18:30:00,0.0,38.65
03-06-2021,18:45:00,0.0,40.55
03-06-2021,19:00:00,0.0,45.9
03-06-2021,19:15:00,0.0,52.36
03-06-2021,19:30:00,0.0,57.06
03-06-2021,19:45:00,0.0,59.56
03-06-2021,20:00:00,0.0,60.45
03-06-2021,20:15:00,0.0,58.44
03-06-2021,20:30:00,0.0,59.36
03-06-2021,20:45:00,0.0,60.26
03-06-2021,21:00:00,0.0,60.4
03-06-2021,21:15:00,0.0,60.21
03-06-2021,21:30:00,0.0,60.82
03-06-2021,21:45:00,0.0,60.91
03-06-2021,22:00:00,0.0,60.24
03-06-2021,22:15:00,0.0,56.37
03-06-2021,22:30:00,0.0,55.71
03-06-2021,22:45:00,0.0,53.53
03-06-2021,23:00:00,0.0,53.99
03-06-2021,23:15:00,0.0,56.69
03-06-2021,23:30:00,0.0,55.32
03-06-2021,23:45:00,0.0,53.35
04-06-2021,00:00:00,0.0,54.86
04-06-2021,00:15:00,0.0,55.94
04-06-2021,00:30:00,0.0,55.41
04-06-2021,00:45:00,0.0,54.9
04-06-2021,01:00:00,0.0,54.03
04-06-2021,01:15:00,0.0,52.94
04-06-2021,01:30:00,0.0,52.43
04-06-2021,01:45:00,0.0,52.0
04-06-2021,02:00:00,0.0,51.21
04-06-2021,02:15:00,0.0,50.06
04-06-2021,02:30:00,0.0,48.79
04-06-2021,02:45:00,0.0,48.19
04-06-2021,03:00:00,0.0,47.72
04-06-2021,03:15:00,0.0,47.67
04-06-2021,03:30:00,0.0,46.84
04-06-2021,03:45:00,0.0,45.01
04-06-2021,04:00:00,0.0,44.48
04-06-2021,04:15:00,0.0,45.56
04-06-2021,04:30:00,0.0,46.71
04-06-2021,04:45:00,0.0,47.25
04-06-2021,05:00:00,0.0,46.35
04-06-2021,05:15:00,0.0,43.73
04-06-2021,05:30:00,0.0,42.13
04-06-2021,05:45:00,0.0,40.01
